Person ,age,married,orientation,religion,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
1,16,Never,Hetero,Other,1,7,7,7,7,5,1,4,2,4,4
2,16,Never,New Types,Christian Other,6,4,7,4,7,7,1,4,2,4,4
3,17,Never,Homo,Christian,2,2,2,6,5,5,3,3,4,3,4
4,13,Never,New Types,Christian,1,7,4,4,6,1,6,2,2,2,1
5,19,Never,Hetero,Muslim,2,3,6,5,5,6,3,2,3,4,4
6,20,Never,Hetero,Christian,2,6,1,7,7,2,6,1,2,3,1
7,17,Never,Bi,Christian Other,2,6,5,2,1,3,5,1,2,3,2
8,29,Never,Bi,Atheist,7,4,5,2,2,3,5,1,1,1,1
9,16,Never,Bi,Other,1,5,7,7,1,7,1,4,3,4,4
10,18,Never,Bi,Atheist,1,5,7,7,1,2,1,3,4,4,4
11,15,Never,Hetero,Protestant,5,6,6,4,4,7,5,3,2,3,2
12,18,Never,Hetero,Protestant,6,6,6,2,2,3,3,3,2,3,3
13,20,Never,Hetero,Agnostic,5,4,6,5,7,6,2,1,1,3,3
14,31,Never,Hetero,Other,5,5,5,6,7,6,6,1,1,3,4
15,34,Previously,Hetero,Agnostic,3,6,1,5,3,2,7,1,1,1,1
16,17,Never,Bi,Agnostic,3,4,5,5,4,3,4,3,2,1,2
17,19,Never,Hetero,Christian Other,1,5,7,6,1,4,1,3,2,3,3
18,18,Never,Hetero,Other,1,4,1,5,4,4,3,3,2,2,2
19,19,Never,Hetero,Atheist,2,7,1,5,4,7,6,3,2,2,1
20,19,Never,Bi,Christian,2,5,4,7,4,6,3,2,2,1,3
21,15,Never,Hetero,Christian,7,3,6,1,7,6,1,3,2,2,3
22,15,Never,Hetero,Protestant,1,5,7,6,2,7,2,3,2,3,2
23,22,Never,Bi,Agnostic,3,5,5,5,2,3,1,3,3,4,4
24,19,Never,Hetero,Christian,1,5,6,6,1,3,3,3,2,2,3
25,20,Never,Hetero,Christian Other,2,3,5,6,2,7,3,2,2,2,3
26,16,Never,Asexual,Agnostic,1,5,7,7,1,6,1,4,4,4,4
27,15,Never,Hetero,Christian Other,4,7,7,2,1,5,1,4,4,3,4
28,16,Never,Bi,Christian Other,7,1,7,1,2,7,3,2,1,1,3
29,19,Never,Bi,Agnostic,1,6,6,7,1,7,4,4,4,3,4
30,16,Never,New Types,Agnostic,3,5,1,5,1,5,6,1,2,1,1
31,19,Never,Hetero,Hindu,5,4,6,6,2,3,2,2,3,3,3
32,18,Never,Hetero,Atheist,5,5,5,7,7,5,5,2,2,1,4
33,42,Never,Hetero,Protestant,6,2,1,6,7,6,1,2,1,3,2
34,15,Never,Hetero,Agnostic,5,5,4,2,1,5,2,2,2,2,2
35,17,Never,Hetero,Agnostic,5,6,2,6,3,4,2,1,2,2,2
36,17,Never,Bi,Agnostic,5,6,5,7,2,2,1,1,1,2,2
36,17,Never,Bi,Agnostic,5,6,5,7,1,2,1,1,1,2,2
37,21,Never,Bi,Christian,5,2,6,5,7,3,2,4,1,2,3
38,23,Never,Hetero,Atheist,2,6,6,7,2,5,4,1,2,4,2
39,17,Never,Hetero,Muslim,7,2,4,5,1,4,3,2,3,3,4
40,26,Never,Hetero,Christian Other,5,6,2,4,3,5,5,2,1,1,1
41,43,Never,Hetero,Christian,7,7,1,7,7,7,7,1,1,1,1
42,16,Never,Bi,Agnostic,4,4,7,5,2,3,2,3,3,4,3
43,17,Never,Bi,Atheist,2,3,6,6,4,5,1,2,2,2,2
44,16,Never,Bi,Agnostic,5,2,5,6,1,6,1,3,2,2,2
45,13,Never,Hetero,Atheist,1,4,3,6,1,3,7,3,1,2,2
46,35,Married,Hetero,Agnostic,1,7,6,7,7,1,6,3,3,3,4
47,25,Never,Hetero,Other,6,3,5,5,2,4,4,1,1,2,2
48,16,Never,Homo,Christian,3,4,7,4,1,5,2,4,4,4,4
49,16,Never,Homo,Christian,5,4,6,4,2,5,2,4,4,4,4
50,24,Never,Hetero,Agnostic,4,5,6,4,4,2,3,4,1,2,2
51,16,Never,Homo,Muslim,2,3,1,7,3,7,7,2,3,2,4
52,18,Never,Bi,Atheist,3,5,6,6,1,5,2,3,4,4,4
52,18,Never,Bi,Atheist,3,5,6,6,2,5,2,3,4,4,4
53,24,Never,Hetero,Agnostic,3,3,4,7,3,4,3,1,3,2,3
54,18,Never,Hetero,Other,3,2,7,3,4,6,2,3,1,3,2
55,23,Never,Bi,Agnostic,1,6,2,6,2,2,6,1,1,1,1
56,22,Never,Hetero,Agnostic,5,5,1,1,1,1,4,3,4,1,4
57,61,Married,Hetero,Christian,4,6,6,5,1,4,5,2,1,1,1
58,21,Never,Hetero,Agnostic,2,1,5,4,3,6,6,2,2,2,2
59,20,Never,Bi,Atheist,5,1,2,6,2,7,4,4,4,1,4
60,23,Never,Hetero,Other,4,6,5,5,3,6,6,2,1,1,2
61,17,Never,Asexual,Christian Other,1,7,1,6,1,3,7,1,1,1,1
62,23,Never,New Types,Muslim,3,6,6,7,2,5,5,2,3,2,4
63,16,Never,Asexual,Agnostic,2,3,5,6,3,2,6,3,3,2,3
64,21,Never,Hetero,Agnostic,6,4,1,1,3,5,7,1,2,3,2
65,26,Never,Bi,Agnostic,5,2,6,6,2,7,1,3,4,2,3
66,40,Previously,Hetero,Atheist,2,1,6,6,1,5,4,2,2,3,4
67,18,Never,Hetero,Christian Other,7,6,1,3,4,2,6,1,1,1,1
68,16,Never,Hetero,Other,2,4,5,6,7,3,5,2,2,2,3
69,20,Never,Bi,Atheist,3,6,4,6,7,3,6,3,3,3,4
70,27,Never,Bi,Buddhist,5,4,5,6,1,1,4,3,1,2,1
71,22,Never,Hetero,Other,3,7,5,7,7,1,3,3,2,2,2
72,28,Never,Hetero,Atheist,1,4,1,6,2,6,4,1,3,3,3
73,17,Never,Bi,Muslim,6,3,7,6,7,7,2,3,4,4,4
74,22,Never,Bi,Other,2,4,4,5,4,4,4,2,2,2,2
75,15,Never,Hetero,Christian,2,2,5,6,1,1,5,2,1,4,4
76,15,Never,Hetero,Christian Other,3,4,7,7,1,6,2,3,4,4,4
77,18,Never,Hetero,Christian Other,6,7,1,4,1,1,6,1,1,1,1
78,60,Never,Hetero,Christian,5,7,5,3,7,2,5,2,2,2,2
79,18,Never,Bi,Other,2,4,6,2,2,3,2,3,3,4,4
80,20,Never,Hetero,Agnostic,2,4,7,6,4,4,3,2,2,3,3
81,20,Never,Homo,Atheist,5,2,1,5,2,6,7,1,1,1,1
82,14,Never,Hetero,Christian,7,3,6,1,7,5,3,4,2,4,2
83,16,Never,Bi,Christian Other,6,5,4,2,1,3,5,4,2,2,3
84,14,Never,Asexual,Agnostic,1,5,3,5,1,3,6,3,1,2,1
85,21,Never,Homo,Agnostic,6,6,3,6,1,5,4,1,4,2,4
86,15,Never,Bi,Christian,4,6,7,7,1,4,4,4,2,4,4
87,14,Never,Asexual,Atheist,2,6,5,6,1,6,5,2,3,2,3
88,17,Never,Hetero,Agnostic,1,5,6,7,2,7,1,3,4,4,4
89,15,Never,New Types,,1,,,6,,6,,,,4,4
90,18,Never,Hetero,Agnostic,6,6,1,4,1,5,4,1,1,1,1
91,20,Never,Hetero,Christian Other,1,2,7,7,3,5,1,2,2,3,3
92,24,Never,Bi,Atheist,7,6,1,2,3,1,7,2,2,1,1
93,40,Married,Hetero,Christian,7,7,5,2,7,5,5,2,1,4,2
94,37,Previously,Hetero,Hindu,1,4,7,7,7,4,1,3,4,4,4
95,22,Never,Hetero,Agnostic,2,1,7,5,2,6,7,1,2,1,4
96,18,Never,Hetero,Atheist,4,7,3,5,4,3,3,3,2,4,4
97,23,Never,Homo,Protestant,1,6,6,7,1,1,3,2,2,4,3
98,46,Previously,Hetero,Protestant,1,1,6,7,1,4,1,2,3,3,4
99,57,Married,Hetero,Christian,6,3,5,3,1,3,3,1,2,1,3
100,26,Never,Hetero,Atheist,1,7,5,7,7,1,7,1,1,1,1
101,41,Married,Hetero,Christian Other,3,7,2,7,7,1,6,1,1,1,1
102,17,Never,Hetero,Christian Other,2,7,3,7,1,5,5,1,2,1,2
103,22,Never,Hetero,Christian,2,3,2,6,7,5,7,1,1,1,1
104,55,Married,Hetero,Christian Other,1,7,5,6,2,1,3,3,3,3,2
105,27,Never,Bi,Christian,7,5,4,2,1,6,5,2,2,2,2
106,19,Never,Hetero,Atheist,3,6,6,2,1,6,3,2,2,3,2
107,19,Never,Bi,Christian,1,4,5,7,3,5,3,1,2,2,2
108,28,Never,Hetero,Christian Other,4,7,7,7,7,1,1,1,2,3,4
109,19,Never,New Types,Other,1,1,1,1,1,1,1,1,1,1,1
110,23,Never,Hetero,Christian,6,6,2,2,7,3,7,2,3,2,4
111,18,Never,Hetero,Mormon,2,2,5,5,2,7,2,2,3,2,4
112,16,Never,Homo,Muslim,1,1,7,7,1,7,5,3,2,4,4
113,16,Never,Bi,Agnostic,1,7,6,7,3,4,4,3,3,3,4
114,22,Never,Hetero,Christian,5,2,5,4,7,6,1,3,2,2,4
115,36,Married,Hetero,Christian Other,2,3,7,6,1,6,3,3,2,3,2
116,18,Never,Bi,Agnostic,1,5,4,7,1,7,6,3,2,2,3
117,25,Never,Hetero,Agnostic,6,3,7,2,1,5,2,3,1,1,2
118,34,Never,Hetero,Christian Other,2,6,6,4,7,2,5,3,3,3,4
119,30,Never,Hetero,Christian Other,6,3,5,1,7,2,1,3,1,3,4
120,28,Previously,Hetero,Christian Other,2,1,6,5,3,7,1,2,3,2,4
121,15,Never,Asexual,Christian,3,6,5,2,1,1,1,3,2,4,4
122,27,Never,Hetero,Atheist,1,7,2,7,3,1,7,1,4,3,4
123,16,Never,Homo,Atheist,1,6,5,7,2,5,2,4,3,2,4
124,16,Never,Hetero,Atheist,5,4,5,6,1,5,3,3,3,2,3
125,36,Never,Hetero,Agnostic,6,6,6,3,1,2,5,1,1,2,1
126,19,Never,Hetero,Atheist,2,3,5,4,3,7,3,3,2,3,2
127,32,Never,Asexual,Agnostic,2,5,5,6,1,5,4,1,2,2,4
128,22,Never,Hetero,Christian,6,6,3,5,1,2,4,3,1,2,3
129,40,Married,Hetero,Other,3,6,7,7,1,5,2,4,4,3,3
130,18,Never,Bi,Atheist,4,4,5,6,3,4,2,2,3,2,3
131,18,Never,Hetero,Atheist,5,7,5,5,2,7,2,3,3,2,4
132,36,Previously,Hetero,Other,6,6,2,5,1,5,6,1,2,1,2
133,14,Never,New Types,Agnostic,4,3,3,4,2,4,4,1,2,2,2
